,Country,Code,Year,Renewables - % electricity
4050,Mexico,MEX,2018,15.891784
4051,Mexico,MEX,2019,16.690367
4052,Mexico,MEX,2020,21.308407
4960,Oman,OMN,2010,0.0
4961,Oman,OMN,2011,0.0
4962,Oman,OMN,2012,0.0
4963,Oman,OMN,2013,0.0
4964,Oman,OMN,2014,0.0
4965,Oman,OMN,2015,0.0
4966,Oman,OMN,2016,0.0
4967,Oman,OMN,2017,0.05532503
4968,Oman,OMN,2018,0.053008217
4969,Oman,OMN,2019,0.051480055
4970,Oman,OMN,2020,0.54488844
5069,Papua New Guinea,PNG,2010,35.612537
5070,Papua New Guinea,PNG,2011,37.465565
5071,Papua New Guinea,PNG,2012,36.72922
5072,Papua New Guinea,PNG,2013,35.162094
5073,Papua New Guinea,PNG,2014,33.411213
5074,Papua New Guinea,PNG,2015,31.346577
5075,Papua New Guinea,PNG,2016,29.769392
5076,Papua New Guinea,PNG,2017,27.816093
5077,Papua New Guinea,PNG,2018,26.315792
5078,Papua New Guinea,PNG,2019,27.917622
5079,Papua New Guinea,PNG,2020,28.87828
5243,Portugal,PRT,2010,53.01047
5244,Portugal,PRT,2011,46.56238
5245,Portugal,PRT,2012,42.627644
5246,Portugal,PRT,2013,58.53029
5247,Portugal,PRT,2014,60.945946
5248,Portugal,PRT,2015,47.633945
5249,Portugal,PRT,2016,54.69941
5250,Portugal,PRT,2017,39.208195
5251,Portugal,PRT,2018,50.402744
5252,Portugal,PRT,2019,53.120155
5253,Portugal,PRT,2020,58.591167
6151,Sudan,SDN,2010,82.8496
6152,Sudan,SDN,2011,76.615746
6153,Sudan,SDN,2012,70.31579
6154,Sudan,SDN,2013,80.96618
6155,Sudan,SDN,2014,78.439964
6156,Sudan,SDN,2015,64.629486
6157,Sudan,SDN,2016,56.21139
6158,Sudan,SDN,2017,60.509556
6159,Sudan,SDN,2018,59.7561
6160,Sudan,SDN,2019,63.748463
6161,Sudan,SDN,2020,64.82558
6761,United States,USA,2010,10.3180895
6762,United States,USA,2011,12.466525
6763,United States,USA,2012,12.184118
6764,United States,USA,2013,12.831115
6765,United States,USA,2014,13.35031
6766,United States,USA,2015,13.626135
6767,United States,USA,2016,15.288093
6768,United States,USA,2017,17.451527
6769,United States,USA,2018,17.44999
6770,United States,USA,2019,18.294624
6771,United States,USA,2020,20.315693
